finalWorth,category,personName,age,country,city,source,industries,gender,lastName,firstName
5700,Energy,"Arthur Irving",93,Canada,"Saint John",Oil,Energy,M,Irving,Arthur
5700,"Real Estate","Fredrik Lundberg",71,Sweden,Stockholm,"Real estate, investments","Real Estate",M,Lundberg,Fredrik
5700,"Construction & Engineering","Thomas Schmidheiny",77,Switzerland,Jona,Cement,"Construction & Engineering",M,Schmidheiny,Thomas
5700,"Finance & Investments","Daniel Ziff",51,"United States","New York",Investments,"Finance & Investments",M,Ziff,Daniel
5700,"Finance & Investments","Dirk Ziff",59,"United States","North Palm Beach",Investments,"Finance & Investments",M,Ziff,Dirk
5700,"Finance & Investments","Robert Ziff",56,"United States","New York",Investments,"Finance & Investments",M,Ziff,Robert
5600,Energy,"Ray Lee Hunt",79,"United States",Dallas,"Oil, real estate",Energy,M,Hunt,"Ray Lee"
5600,Logistics,"Lai Meisong",52,China,Shanghai,"Package delivery",Logistics,M,Lai,Meisong
5600,Automotive,"Vikram Lal & family",81,India,Delhi,Motorcycles,Automotive,M,Lal,Vikram
5600,"Finance & Investments","Ken Langone",87,"United States","Sands Point",Investments,"Finance & Investments",M,Langone,Ken
5600,Healthcare,"Li Ge",56,China,Shanghai,"Pharmaceutical ingredients",Healthcare,M,Li,Ge
5600,"Finance & Investments","Karen Pritzker",65,"United States",Branford,"Hotels, investments","Finance & Investments",F,Pritzker,Karen
5600,Service,"Robert Rowling",69,"United States",Dallas,"Hotels, investments",Service,M,Rowling,Robert
5600,"Gambling & Casinos","Teddy Sagi",51,Israel,"Tel Aviv","Gambling software","Gambling & Casinos",M,Sagi,Teddy
5600,Healthcare,"Seo Jung-jin",65,"South Korea",Seoul,Biotech,Healthcare,M,Seo,Jung-jin
5600,Automotive,"Wu Jianshu",59,China,Ningbo,"Auto parts",Automotive,M,Wu,Jianshu
5500,Service,"Micky Arison",73,"United States","Bal Harbour","Carnival Cruises",Service,M,Arison,Micky
5500,"Media & Entertainment","James Chambers",65,"United States",Palisades,"Media, automotive","Media & Entertainment",M,Chambers,James
5500,Technology,"John Collison",32,"United States","San Francisco","Payments software",Technology,M,Collison,John
5500,Technology,"Patrick Collison",34,"United States","San Francisco","Payment software",Technology,M,Collison,Patrick
5500,Manufacturing,"Archie Aldis Emmerson & family",93,"United States",Redding,"Timberland, lumber mills",Manufacturing,M,Emmerson,"Archie Aldis"
5500,Automotive,"Piero Ferrari",77,Italy,Modena,Automobiles,Automotive,M,Ferrari,Piero
5500,Automotive,"Dan Friedkin",58,"United States",Houston,"Toyota dealerships",Automotive,M,Friedkin,Dan
5500,Diversified,"James Irving",95,Canada,"Saint John",Diversified,Diversified,M,Irving,James
5500,Manufacturing,"Jiang Weiping & family",68,China,Chengdu,Chemicals,Manufacturing,M,Jiang,Weiping
5500,Healthcare,"Wolfgang Marguerre & family",81,Germany,Heidelberg,Pharmaceuticals,Healthcare,M,Marguerre,Wolfgang
5500,"Finance & Investments","Ludwig Merckle",58,Germany,Ulm,Pharmaceuticals,"Finance & Investments",M,Merckle,Ludwig
5500,Manufacturing,"Mitchell Rales",66,"United States",Potomac,"Manufacturing, investments",Manufacturing,M,Rales,Mitchell
5500,"Media & Entertainment","Katharine Rayner",78,"United States","East Hampton","Media, automotive","Media & Entertainment",F,Rayner,Katharine
5500,"Finance & Investments","Paul Singer",78,"United States","New York","Hedge funds","Finance & Investments",M,Singer,Paul
5500,Healthcare,"Sergio Stevanato & family",80,Italy,Venice,"Medical packaging",Healthcare,M,Stevanato,Sergio
5500,"Media & Entertainment","Margaretta Taylor",80,"United States",Southampton,"Media, automotive","Media & Entertainment",F,Taylor,Margaretta
5500,Technology,"Richard White",68,Australia,Sydney,Software,Technology,M,White,Richard
5500,Diversified,"Zhao Yan",56,China,Beijing,Biotech,Diversified,F,Zhao,Yan
5400,"Fashion & Retail","Patrizio Bertelli",77,Italy,Milan,"Luxury goods","Fashion & Retail",M,Bertelli,Patrizio
5400,Manufacturing,"Mahendra Choksi & family",81,India,Mumbai,Paints,Manufacturing,M,Choksi,Mahendra
5400,"Finance & Investments","Mat Ishbia",43,"United States","Bloomfield Hills","Mortgage lender","Finance & Investments",M,Ishbia,Mat
5400,Technology,"Leo Koguan",68,Singapore,Singapore,"IT provider",Technology,M,Koguan,Leo
5400,Diversified,"Miao Hangen",58,China,Suzhou,"Textiles, petrochemicals",Diversified,M,Miao,Hangen
5400,Manufacturing,"Michael Pieper",77,Switzerland,Lucerne,"Kitchen appliances",Manufacturing,M,Pieper,Michael
5400,"Fashion & Retail","Miuccia Prada",73,Italy,Milan,"Luxury goods","Fashion & Retail",F,Prada,Miuccia
5400,"Fashion & Retail","Wolfgang Reimann",70,Germany,Passau,"Consumer goods","Fashion & Retail",M,Reimann,Wolfgang
5400,"Fashion & Retail","Matthias Reimann-Andersen",58,Germany,Munich,"Consumer goods","Fashion & Retail",M,Reimann-Andersen,Matthias
5400,"Fashion & Retail","Stefan Reimann-Andersen",59,Austria,Vienna,"Consumer goods","Fashion & Retail",M,Reimann-Andersen,Stefan
5400,"Fashion & Retail","Renate Reimann-Haas",71,Austria,Vienna,"Consumer goods","Fashion & Retail",F,Reimann-Haas,Renate
5300,"Finance & Investments","Todd Boehly",49,"United States",Darien,Finance,"Finance & Investments",M,Boehly,Todd
5300,"Real Estate","Rick Caruso",64,"United States","Los Angeles","Real estate","Real Estate",M,Caruso,Rick
5300,Manufacturing,"Ibrahim Erdemoglu",60,Turkey,Istanbul,Carpet,Manufacturing,M,Erdemoglu,Ibrahim
5300,"Finance & Investments","Elizabeth Johnson",59,"United States",Boston,Fidelity,"Finance & Investments",F,Johnson,Elizabeth
5300,"Finance & Investments","Douglas Leone",65,"United States",Atherton,"Venture capital","Finance & Investments",M,Leone,Douglas
5300,Diversified,"Prajogo Pangestu",78,Indonesia,Jakarta,Petrochemicals,Diversified,M,Pangestu,Prajogo
5300,"Finance & Investments","Thomas Pritzker",72,"United States",Chicago,"Hotels, investments","Finance & Investments",M,Pritzker,Thomas
5300,"Food & Beverage","Lynda Resnick",80,"United States","Beverly Hills",Agriculture,"Food & Beverage",F,Resnick,Lynda
5300,"Food & Beverage","Stewart Resnick",86,"United States","Beverly Hills",Agriculture,"Food & Beverage",M,Resnick,Stewart
5300,Service,"Gary Rollins",78,"United States",Atlanta,"Pest control",Service,M,Rollins,Gary
5300,"Finance & Investments","Mark Walter",62,"United States",Chicago,"Finance, asset management","Finance & Investments",M,Walter,Mark
5300,Manufacturing,"Ronald Wanek",81,"United States","Saint Petersburg",Furniture,Manufacturing,M,Wanek,Ronald
5300,"Food & Beverage","Erich Wesjohann & family",77,Germany,Visbek,"Poultry genetics","Food & Beverage",M,Wesjohann,Erich
5300,"Fashion & Retail","M.A. Yusuff Ali",67,"United Arab Emirates","Abu Dhabi",Retail,"Fashion & Retail",M,"Yusuff Ali",M.A.
